Designator Footprint               Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment        

U49        SOT23-6              249.25mm     224.104mm      249.25mm     224.104mm       250.2mm     225.204mm  T        270.00 SN74LVC1G10    
U48        SOT23-6             250.012mm     215.976mm     250.012mm     215.976mm     249.062mm     214.876mm  T         90.00 SN74LVC1G10    
U47        SOT23-6             224.395mm      28.778mm     224.395mm      28.778mm     223.445mm      27.678mm  T         90.00 TS5A3159A      
U46        VQG100_L            206.832mm      45.796mm     206.832mm      45.796mm     199.307mm      51.796mm  T          0.00 XC2C256-5VQG100C
U45        DDR2_BGA84           240.35mm          58mm      240.35mm          58mm      234.75mm        54.8mm  T         90.00 MT47H128M16    
U44        DDR2_BGA84           251.05mm       73.75mm      251.05mm       73.75mm      245.45mm       70.55mm  T         90.00 MT47H128M16    
U43        DDR2_BGA84           251.05mm      100.65mm      251.05mm      100.65mm      245.45mm       97.45mm  T         90.00 MT47H128M16    
U42        DDR2_BGA84           240.35mm       116.4mm      240.35mm       116.4mm      234.75mm       113.2mm  T         90.00 MT47H128M16    
U40        TQFN-40              227.66mm      80.594mm      227.66mm      80.594mm     224.635mm      82.844mm  T          0.00 CDCU877        
U39        SC70-6                230.2mm     159.588mm       230.2mm     159.588mm       229.1mm     160.238mm  T          0.00 PI5A3157ZAEX   
U38        TSSOP-8A2              9.22mm      76.784mm        9.22mm      76.784mm       8.245mm      73.909mm  T         90.00 AT24HC04B      
U37        SC70-6                230.2mm     163.652mm       230.2mm     163.652mm       229.1mm     164.302mm  T          0.00 PI5A3157ZAEX   
U36        SSOP20_M            237.312mm    162.2804mm     237.312mm    162.2804mm     240.237mm    165.7054mm  T        270.00 ICL3225EIAZ    
U35        SC70-6                230.2mm     167.716mm       230.2mm     167.716mm       229.1mm     168.366mm  T          0.00 PI5A3157ZAEX   
U34        SOIC150-8_N         298.323mm     201.041mm     298.323mm     201.041mm     300.923mm     199.136mm  T        180.00 93LC56B        
U33        QFN64               288.112mm    217.6524mm     288.112mm    217.6524mm     291.862mm    222.1774mm  T        270.00 FT4232HL       
U31        SC70-6             188.2392mm     33.7818mm    188.2392mm     33.7818mm    187.5892mm     32.6818mm  T         90.00 PI5A3157ZAEX   
U30        LAA064                  182mm        45.5mm         182mm        45.5mm       185.5mm          49mm  T        270.00 S29GL01GP11FFI010
U29        SOT23-5               29.54mm       166.7mm       29.54mm       166.7mm       30.49mm         168mm  T        270.00 MIC2774N-29YMS 
U28        PW08                 263.22mm      47.828mm      263.22mm      47.828mm     262.245mm      45.703mm  T         90.00 INA333         
U27        PW08                 254.33mm      113.66mm      254.33mm      113.66mm     253.355mm     111.535mm  T         90.00 INA333         
U26        10L_uMAX            257.632mm      40.208mm     257.632mm      40.208mm     256.632mm      38.158mm  T         90.00 MAX6650        
U25        PW014               250.774mm     168.986mm     250.774mm     168.986mm     247.924mm     170.936mm  T        360.00 SN74LV21A      
U24        PW08                  268.3mm     152.984mm       268.3mm     152.984mm     270.425mm     152.009mm  T        180.00 INA333         
U23        TQFN-40             250.012mm    141.3508mm     250.012mm    141.3508mm     252.262mm    144.3758mm  T        270.00 MAX16071       
U22        QSOP-16             162.128mm        39.7mm     162.128mm        39.7mm    164.3505mm        42.3mm  T        270.00 MAX1805        
U20        PW08                269.316mm     186.004mm     269.316mm     186.004mm     271.441mm     185.029mm  T        180.00 INA333         
U19        PW08                269.824mm      73.228mm     269.824mm      73.228mm     271.949mm      72.253mm  T        180.00 INA333         
U18        SOT23-6                  27mm     236.296mm          27mm     236.296mm        25.9mm     237.246mm  T          0.00 AD7414ARTZ-1   
U17        10L_uMAX            228.676mm        39.7mm     228.676mm        39.7mm     227.676mm       37.65mm  T         90.00 MAX6650        
U16        TQFN-40             260.426mm       58.75mm     260.426mm       58.75mm     262.676mm      61.775mm  T        270.00 MAX16071       
U15        SOT23-6             226.136mm      20.904mm     226.136mm      20.904mm     225.036mm      21.854mm  T        360.00 AD7414ARTZ-1   
U14        SOT23-5             262.712mm      72.212mm     262.712mm      72.212mm     261.412mm      73.162mm  T          0.00 LP2985         
U13        10L_uMAX            157.556mm      28.016mm     157.556mm      28.016mm     159.606mm      27.016mm  T        180.00 MAX6650        
U12        TSOT-23-8            34.874mm       8.204mm      34.874mm       8.204mm      33.899mm       6.894mm  T         90.00 LTC2951-1      
U11        SOIC150-8_N        244.9322mm    184.6326mm    244.9322mm    184.6326mm    247.5322mm    182.7276mm  T        180.00 DS1307         
U10        SC70-6               296.24mm      68.656mm      296.24mm      68.656mm      295.14mm      69.306mm  T        360.00 PI5A3157ZAEX   
U9         DIP_Module_22PIN     290.525mm     44.3355mm     302.336mm      63.576mm     300.304mm      61.544mm  T        360.00 PTH08T250WAD   
U8         DIP_Module_14PIN     281.381mm    110.7565mm     288.112mm     128.092mm      286.08mm      126.06mm  T          0.00 PTH08T210WAD   
U7         VQFN20              250.012mm     131.648mm     250.012mm     131.648mm     251.312mm     134.073mm  T        270.00 TPS74401       
U6         DIP_Module_11PIN    289.8265mm    153.1745mm     300.812mm     144.856mm      298.78mm     146.888mm  T        270.00 PTH08T220WAD   
U5         VQFN20              94.1576mm    127.9904mm     94.1576mm    127.9904mm     96.5826mm    126.6904mm  T        180.00 TPS74401       
